,usd,BTC,time
0,"[1622697571298, 2797.550523934794]","[1622697847318, 0.07298829204374913]",2021-06-03 05:24:07
1,"[1622697847318, 2799.3040047633667]","[1622698186961, 0.07285841007678646]",2021-06-03 05:29:46
2,"[1622698186961, 2793.4683849967096]","[1622698485630, 0.07275278877914045]",2021-06-03 05:34:45
3,"[1622698485630, 2786.9514768475865]","[1622698819343, 0.07274369827040462]",2021-06-03 05:40:19
4,"[1622698819343, 2793.5632736124685]","[1622699076550, 0.072979304668782]",2021-06-03 05:44:36
5,"[1622699076550, 2810.8186485440074]","[1622699397018, 0.07290064555619544]",2021-06-03 05:49:57
6,"[1622699397018, 2826.021455318357]","[1622699673949, 0.07276473348549276]",2021-06-03 05:54:33
7,"[1622699673949, 2817.5505124298106]","[1622699964688, 0.07275798585932564]",2021-06-03 05:59:24
8,"[1622699964688, 2823.0642502755823]","[1622700348726, 0.07271653181372607]",2021-06-03 06:05:48
9,"[1622700247000, 2822.4554649931624]","[1622700348000, 0.07271653181372607]",2021-06-03 06:05:48
